,instance,init_temperature,min_temperature,cooling_coefficient,equilibrium,cost_coefficient,relative_absolute_error,is_instance_optimal,cost,weight,is_solution
0,wuf20-01,100.0,0.0001,0.9,80,1e-05,0.0,True,0.9999567156446358813018679839,2293,True
1,wuf20-01,100.0,0.0001,0.9,80,1e-05,0.0,True,0.9999567156446358813018679839,2293,True
2,wuf20-01,100.0,0.0001,0.9,80,1e-05,0.0,True,0.9999567156446358813018679839,2293,True
3,wuf20-01,100.0,0.0001,0.9,80,1e-05,0.0,True,0.9999567156446358813018679839,2293,True
4,wuf20-01,100.0,0.0001,0.9,80,1e-05,0.0,True,0.9999567156446358813018679839,2293,True
5,wuf20-01,100.0,0.0001,0.9,80,1e-05,0.0,True,0.9999567156446358813018679839,2293,True
6,wuf20-01,100.0,0.0001,0.9,80,1e-05,0.0,True,0.9999567156446358813018679839,2293,True
7,wuf20-01,100.0,0.0001,0.9,80,1e-05,0.0,True,0.9999567156446358813018679839,2293,True
8,wuf20-01,100.0,0.0001,0.9,80,1e-05,0.0,True,0.9999567156446358813018679839,2293,True
9,wuf20-01,100.0,0.0001,0.9,80,1e-05,0.0,True,0.9999567156446358813018679839,2293,True
10,wuf20-02,100.0,0.0001,0.9,80,1e-05,0.0,True,0.9999814368330578542908871816,3972,True
11,wuf20-02,100.0,0.0001,0.9,80,1e-05,0.0,True,0.9999814368330578542908871816,3972,True
12,wuf20-02,100.0,0.0001,0.9,80,1e-05,0.0,True,0.9999814368330578542908871816,3972,True
13,wuf20-02,100.0,0.0001,0.9,80,1e-05,0.0,True,0.9999814368330578542908871816,3972,True
14,wuf20-02,100.0,0.0001,0.9,80,1e-05,0.0,True,0.9999814368330578542908871816,3972,True
15,wuf20-02,100.0,0.0001,0.9,80,1e-05,0.0,True,0.9999814368330578542908871816,3972,True
16,wuf20-02,100.0,0.0001,0.9,80,1e-05,0.0,True,0.9999814368330578542908871816,3972,True
17,wuf20-02,100.0,0.0001,0.9,80,1e-05,0.0,True,0.9999814368330578542908871816,3972,True
18,wuf20-02,100.0,0.0001,0.9,80,1e-05,0.0,True,0.9999814368330578542908871816,3972,True
19,wuf20-02,100.0,0.0001,0.9,80,1e-05,0.0,True,0.9999814368330578542908871816,3972,True
20,wuf20-03,100.0,0.0001,0.9,80,1e-05,0.0,True,0.9999994507859746812353546213,4005,True
21,wuf20-03,100.0,0.0001,0.9,80,1e-05,0.0,True,0.9999994507859746812353546213,4005,True
22,wuf20-03,100.0,0.0001,0.9,80,1e-05,0.0,True,0.9999994507859746812353546213,4005,True
23,wuf20-03,100.0,0.0001,0.9,80,1e-05,0.0,True,0.9999994507859746812353546213,4005,True
24,wuf20-03,100.0,0.0001,0.9,80,1e-05,0.0,True,0.9999994507859746812353546213,4005,True
25,wuf20-03,100.0,0.0001,0.9,80,1e-05,0.0,True,0.9999994507859746812353546213,4005,True
