,instance,init_temperature,min_temperature,cooling_coefficient,equilibrium,cost_coefficient,relative_absolute_error,is_instance_optimal,cost,weight,is_solution
0,wuf20-01,2687,0.0001,0.9,20,3,0.0,True,2293,2293,True
1,wuf20-01,2687,0.0001,0.9,20,3,0.0,True,2293,2293,True
2,wuf20-01,2687,0.0001,0.9,20,3,0.0,False,2137,2137,True
3,wuf20-01,2687,0.0001,0.9,20,3,0.0,True,2293,2293,True
4,wuf20-01,2687,0.0001,0.9,20,3,0.0,False,2177,2177,True
5,wuf20-02,4141,0.0001,0.9,20,3,0.0,False,3256,3256,True
6,wuf20-02,4141,0.0001,0.9,20,3,0.0,True,3972,3972,True
7,wuf20-02,4141,0.0001,0.9,20,3,0.0,False,3936,3936,True
8,wuf20-02,4141,0.0001,0.9,20,3,0.0,True,3972,3972,True
9,wuf20-02,4141,0.0001,0.9,20,3,0.0,False,3936,3936,True
10,wuf20-03,4010,0.0001,0.9,20,3,0.01098901098901095,False,2938,3739,False
11,wuf20-03,4010,0.0001,0.9,20,3,0.0,True,4005,4005,True
12,wuf20-03,4010,0.0001,0.9,20,3,0.01098901098901095,False,2671,3472,False
13,wuf20-03,4010,0.0001,0.9,20,3,0.01098901098901095,False,2137,2938,False
14,wuf20-03,4010,0.0001,0.9,20,3,0.01098901098901095,False,2937,3738,False
15,wuf20-04,2147,0.0001,0.9,20,3,0.01098901098901095,False,1336,2137,False
16,wuf20-04,2147,0.0001,0.9,20,3,0.0,True,2136,2136,True
17,wuf20-04,2147,0.0001,0.9,20,3,0.01098901098901095,False,1247,2048,False
18,wuf20-04,2147,0.0001,0.9,20,3,0.0,False,1869,1869,True
19,wuf20-04,2147,0.0001,0.9,20,3,0.02197802197802201,False,270,1872,False
20,wuf20-05,3488,0.0001,0.9,20,3,0.0,True,3477,3477,True
21,wuf20-05,3488,0.0001,0.9,20,3,0.0,True,3477,3477,True
22,wuf20-05,3488,0.0001,0.9,20,3,0.0,True,3477,3477,True
23,wuf20-05,3488,0.0001,0.9,20,3,0.0,True,3477,3477,True
24,wuf20-05,3488,0.0001,0.9,20,3,0.01098901098901095,False,2047,3274,False
25,wuf20-06,4374,0.0001,0.9,20,3,0.0,True,4368,4368,True
26,wuf20-06,4374,0.0001,0.9,20,3,0.0,False,4200,4200,True
27,wuf20-06,4374,0.0001,0.9,20,3,0.0,True,4368,4368,True
28,wuf20-06,4374,0.0001,0.9,20,3,0.0,False,4032,4032,True
29,wuf20-06,4374,0.0001,0.9,20,3,0.01098901098901095,False,2857,3865,False
30,wuf20-07,7045,0.0001,0.9,20,3,0.0,False,6522,6522,True
31,wuf20-07,7045,0.0001,0.9,20,3,0.0,True,6947,6947,True
32,wuf20-07,7045,0.0001,0.9,20,3,0.0,True,6947,6947,True
33,wuf20-07,7045,0.0001,0.9,20,3,0.0,False,6462,6462,True
34,wuf20-07,7045,0.0001,0.9,20,3,0.0,False,6583,6583,True
35,wuf20-08,3852,0.0001,0.9,20,3,0.0,True,3839,3839,True
36,wuf20-08,3852,0.0001,0.9,20,3,0.0,True,3839,3839,True
37,wuf20-08,3852,0.0001,0.9,20,3,0.01098901098901095,False,702,2796,False
38,wuf20-08,3852,0.0001,0.9,20,3,0.0,True,3839,3839,True
39,wuf20-08,3852,0.0001,0.9,20,3,0.0,False,3315,3315,True
40,wuf20-09,12747,0.0001,0.9,20,3,0.01098901098901095,False,8108,11582,False
41,wuf20-09,12747,0.0001,0.9,20,3,0.0,True,12738,12738,True
42,wuf20-09,12747,0.0001,0.9,20,3,0.0,True,12738,12738,True
43,wuf20-09,12747,0.0001,0.9,20,3,0.0,True,12738,12738,True
44,wuf20-09,12747,0.0001,0.9,20,3,0.0,True,12738,12738,True
45,wuf20-010,4671,0.0001,0.9,20,3,0.0,False,4265,4265,True
46,wuf20-010,4671,0.0001,0.9,20,3,0.0,False,4265,4265,True
47,wuf20-010,4671,0.0001,0.9,20,3,0.0,True,4399,4399,True
48,wuf20-010,4671,0.0001,0.9,20,3,0.0,False,4265,4265,True
49,wuf20-010,4671,0.0001,0.9,20,3,0.0,False,4265,4265,True
